unitid,name,city,state,level,control,Undergraduate Program,Graduate Program,Enrollment Profile,Undergraduate Profile,Size & Setting,Basic,Community Engagement,"133 results for  Basic = 'Doctoral Universities: High Research Activity'"
199102,"North Carolina A & T State University","Greensboro","NC","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Classified"
105330,"Northern Arizona University","Flagstaff","AZ","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Not Classified"
147703,"Northern Illinois University","Dekalb","IL","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
136215,"Nova Southeastern University","Fort Lauderdale","FL","Four or more years","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral Professional-dominant","Majority graduate","Four-year full-time selective lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
171571,"Oakland University","Rochester Hills","MI","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Not Classified"
209807,"Portland State University","Portland","OR","Four or more years","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year medium full-time lower transfer-in higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
227526,"Prairie View A & M University","Prairie View","TX","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year full-time inclusive lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
195003,"Rochester Institute of Technology","Rochester","NY","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time more selective lower transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Not Classified"
184782,"Rowan University","Glassboro","NJ","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Not Classified"
186371,"Rutgers University-Camden","Camden","NJ","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year medium primarily nonresidential","Doctoral Universities High Research Activity","Classified"
186399,"Rutgers University-Newark","Newark","NJ","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
179159,"Saint Louis University","Saint Louis","MO","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral Comprehensive programs with medical/veterinary school","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Classified"
227881,"Sam Houston State University","Huntsville","TX","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year medium full-time lower transfer-in higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
122409,"San Diego State University","San Diego","CA","Four or more years","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
122597,"San Francisco State University","San Francisco","CA","Four or more years","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral Single program Education","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
