Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
"California State U., Long Beach",0,0.0,178,26.4,310,34.7,254,44.0
"California State U., Los Angeles",0,0.0,243,35.7,346,38.6,412,70.9
"California State U., Monterey Bay",0,0.0,481,69.9,377,42.0,571,98.0
"California State U., Northridge",0,0.0,186,27.5,299,33.5,283,49.0
"California State U., Sacramento",0,0.0,303,44.3,263,29.6,352,60.7
"California State U., San Bernardino",0,0.0,242,35.6,333,37.2,401,69.0
"California State U., San Marcos",0,0.0,466,67.7,341,38.1,489,84.0
"California State U., Stanislaus",0,0.0,635,92.0,536,59.3,559,95.9
California U. Science and Medicine,0,0.0,525,76.2,0,0.0,0,0.0
Calvin Theological Seminary,405,90.5,0,0.0,0,0.0,0,0.0
Calvin U.,0,0.0,540,78.3,586,64.8,434,74.7
Cameron U.,0,0.0,529,76.8,0,0.0,0,0.0
Campbell U.,0,0.0,426,62.0,0,0.0,0,0.0
Canisius C.,0,0.0,579,83.9,633,69.9,473,81.3
Cardinal Stritch U.,271,60.8,0,0.0,0,0.0,0,0.0
Carleton C.,0,0.0,0,0.0,453,50.3,323,55.8
"Carlos Albizu U., San Juan",288,64.6,0,0.0,0,0.0,0,0.0
Carnegie Mellon U.,62,14.5,18,3.4,70,8.5,106,18.9
Case Western Reserve U.,96,22.0,79,12.2,66,8.1,119,21.1
"Catholic U. America, The",192,43.3,370,53.9,232,26.2,292,50.5
Cedars-Sinai Medical Center,0,0.0,557,80.8,0,0.0,0,0.0
Central Connecticut State U.,0,0.0,504,73.2,601,66.4,0,0.0
Central Michigan U.,279,62.6,267,39.2,272,30.6,179,31.3
Central State U.,0,0.0,0,0.0,355,39.6,395,68.0
Central Washington U.,0,0.0,333,48.6,514,56.9,435,74.8
Centre C.,0,0.0,0,0.0,860,94.7,0,0.0
Chapman U.,237,53.3,348,50.8,252,28.4,342,59.0
Charles R. Drew U. Medicine and Science,0,0.0,476,69.2,327,36.5,515,88.4
Chatham U.,0,0.0,423,61.6,0,0.0,0,0.0
Chicago State U.,0,0.0,449,65.3,513,56.8,0,0.0
Chicago Theological Seminary,396,88.5,0,0.0,0,0.0,0,0.0
Christopher Newport U.,0,0.0,628,91.0,497,55.1,478,82.1
Citadel Military C. South Carolina,0,0.0,510,74.0,538,59.6,0,0.0
"City of Hope, Irell and Manella Graduate School of Biological Sciences",343,76.7,459,66.7,0,0.0,0,0.0
Claflin U.,0,0.0,643,93.1,637,70.3,506,86.9
Claremont Graduate U.,132,30.0,196,29.0,372,41.5,514,88.3
Claremont McKenna C.,0,0.0,0,0.0,428,47.6,509,87.4
Claremont School of Theology,316,70.8,0,0.0,773,85.2,0,0.0
Clarion U. Pennsylvania,0,0.0,496,72.0,0,0.0,0,0.0
Clark Atlanta U.,284,63.7,506,73.5,352,39.3,297,51.4
Clark U.,271,60.8,284,41.6,364,40.6,419,72.1
Clarkson U.,257,57.7,315,46.1,296,33.2,267,46.3
Clayton State U.,0,0.0,0,0.0,724,79.8,0,0.0
Clemson U.,83,19.2,74,11.5,107,12.6,81,14.6
Cleveland State U.,221,49.7,130,19.5,177,20.2,274,47.4
Coastal Carolina U.,0,0.0,612,88.7,527,58.4,457,78.6
Coe C.,0,0.0,0,0.0,746,82.2,0,0.0
Colby C.,0,0.0,0,0.0,572,63.3,390,67.2
Cold Spring Harbor Laboratory,0,0.0,540,78.3,159,18.2,161,28.2
Colgate U.,0,0.0,0,0.0,471,52.2,265,45.9
Colorado C.,0,0.0,0,0.0,402,44.7,0,0.0
Colorado Mesa U.,0,0.0,0,0.0,679,74.9,0,0.0
Colorado School of Mines,159,36.0,127,19.1,173,19.8,190,33.2
"Colorado State U., Fort Collins",83,19.2,114,17.2,61,7.5,56,10.4
"Colorado State U., Pueblo",0,0.0,643,93.1,481,53.3,341,58.8
Columbia U. in the City of New York,17,4.5,2,1.1,21,3.2,27,5.4
Columbus State U.,0,0.0,416,60.5,888,97.7,0,0.0
"Commonwealth Medical C., The",0,0.0,449,65.3,0,0.0,0,0.0
"Concordia C., Moorhead",0,0.0,0,0.0,838,92.3,0,0.0
Concordia Seminary,354,79.2,0,0.0,0,0.0,0,0.0
"Concordia U., Wisconsin",0,0.0,0,0.0,787,86.7,0,0.0
Connecticut C.,0,0.0,0,0.0,611,67.5,273,47.3
Converse C.,0,0.0,0,0.0,849,93.5,0,0.0
Cooper Union,0,0.0,637,92.3,742,81.8,0,0.0
Coppin State U.,0,0.0,657,95.1,843,92.8,0,0.0
Cornell C.,0,0.0,0,0.0,773,85.2,0,0.0
Cornell U.,25,6.3,14,2.9,14,2.4,26,5.3
"Cornell University, Graduate School of Medical Sciences",192,43.3,0,0.0,0,0.0,0,0.0
Creighton U.,417,93.1,476,69.2,267,30.0,263,45.6
D'Youville C.,0,0.0,0,0.0,839,92.4,0,0.0
Dakota State U.,320,71.7,335,48.9,468,51.9,528,90.6
Dallas Theological Seminary,396,88.5,0,0.0,0,0.0,0,0.0
Dartmouth C.,173,39.1,146,21.8,82,9.8,96,17.2
Davidson C.,0,0.0,0,0.0,508,56.3,446,76.7
DePaul U.,297,66.6,135,20.2,380,42.3,389,67.0
DePauw U.,0,0.0,0,0.0,840,92.5,0,0.0
DeSales U.,0,0.0,628,91.0,0,0.0,0,0.0
Delaware State U.,372,83.2,468,68.0,269,30.2,185,32.3
Delaware Valley U.,0,0.0,0,0.0,898,98.8,0,0.0
Delta State U.,0,0.0,637,92.3,873,96.1,0,0.0
Denison U.,0,0.0,0,0.0,703,77.5,0,0.0
Des Moines U.,0,0.0,0,0.0,409,45.5,508,87.2
"Des Moines U., Osteopathic Medical Center",0,0.0,584,84.7,0,0.0,0,0.0
Desert Research Institute,0,0.0,0,0.0,249,28.0,275,47.6
Dickinson C.,0,0.0,0,0.0,692,76.3,0,0.0
Dillard U.,0,0.0,0,0.0,505,56.0,122,21.6
Dine C.,0,0.0,0,0.0,581,64.2,0,0.0
Doane U.,0,0.0,0,0.0,615,67.9,0,0.0
Dominican U. California,0,0.0,486,70.6,679,74.9,0,0.0
Dordt U.,0,0.0,0,0.0,705,77.8,570,97.8
Drake U.,0,0.0,0,0.0,587,64.9,0,0.0
Drew U.,348,77.9,608,88.1,0,0.0,0,0.0
Drexel U.,110,25.1,110,16.6,143,16.5,152,26.7
Duke U.,39,9.4,46,7.5,11,2.1,66,12.1
Duquesne U.,178,40.2,340,49.6,340,38.0,156,27.4
Earlham C.,0,0.0,0,0.0,852,93.8,0,0.0
East Carolina U.,206,46.4,213,31.4,200,22.7,182,31.8
East Central U.,0,0.0,0,0.0,870,95.8,0,0.0
East Stroudsburg U. Pennsylvania,0,0.0,444,64.6,588,65.0,0,0.0
East Tennessee State U.,267,59.9,240,35.3,286,32.1,243,42.2
